MP ID,Formula,Band Gap (eV),energy_above_hull (eV/atom),Left End (V),Right End (V),Window Length (V),label
mp-779308,SrLiLa7(CoO8)2,0.6233,0.021962448,3.549326194,3.703934672,0.154608478,0
mp-753433,SrLiLa3MnO8,1.708,0.020087179,1.129666921,2.866424565,1.736757644,0
mp-766044,SrLiLa3FeO8,0.9895,0.011453055,2.837369449,3.024346396,0.186976948,0
mp-766205,SrLiLa15(CoO8)4,0.8584,0.039393086,3.84874466,3.901802862,0.053058202,0
mp-13139,SrLiGe2,0.0,0.0,0.249641735,0.646445287,0.396803553,0
mp-568385,SrLiGaN2,2.2221,0.0,0.455642334,0.71924411,0.263601775,0
mp-676932,SrLiEuTeO6,0.0,0.057600709,2.32425516,3.907617219,1.583362059,0
mp-1235444,SrLiEu(CoO3)2,0.0,0.455479469,2.746194038,2.968156775,0.221962737,0
mp-1209607,SrLiCuN,0.0,0.611519923,0.079173991,0.205359999,0.126186008,0
mp-554131,SrLiCoF6,2.2144,0.042132915,4.532001455,6.427073073,1.895071618,0
mp-557962,SrLiBS3,2.5603,0.000848513,1.599195946,2.035076264,0.435880318,0
mp-30456,SrLiBi,0.5558,0.0,0.005122867,0.829484625,0.824361759,0
mp-1101989,SrLiAs,1.0323,0.0,0.005122867,0.9292536,0.924130733,0
mp-1218153,SrLiAlSb2,0.0,0.029460243,0.741293287,0.895959741,0.154666455,0
mp-1235313,SrLiAlO3,3.2866,0.371021548,0.20053448,2.95021444,2.749679959,0
mp-1020627,SrLiAl3N4,3.0465,0.0,0.141267605,0.780054484,0.638786878,0
mp-775913,SrLi4NiO4,2.6467,0.095941323,1.879434438,2.634122012,0.754687574,0
mp-15845,SrLi4N2,0.6182,0.0,0.005122867,0.40118794,0.396065073,0
mp-766206,SrLi4La15(CoO8)4,0.9242,0.02521006,2.854072337,2.929035343,0.074963005,0
mp-570931,SrLi3MnN3,0.0,0.0,0.172232104,0.663115927,0.490883823,0
mp-1095765,SrLi2Tl,0.0,1.29429204,0.005122867,0.039861085,0.034738218,0
mp-16691,SrLi2Ti6O14,2.952,0.0,1.532157469,3.885138811,2.352981342,0
mp-558054,SrLi2Ta2O7,2.2704,0.0,1.090179922,3.551095433,2.460915512,0
mp-867171,SrLi2Sn,0.0,0.0,0.005122867,0.276888478,0.271765611,0
mp-1096762,SrLi2Si,0.1927,1.65371262,0.019983079,0.084280149,0.06429707,0
mp-867174,SrLi2Pb,0.0,0.0,0.005122867,0.23244954,0.227326673,0
mp-557857,SrLi2Nb2O7,1.6613,0.010655999,1.675705786,3.570856985,1.895151199,0
mp-1093984,SrLi2In,0.0,1.373213106,0.023955337,0.087352919,0.063397582,0
mp-1097095,SrLi2Ge,0.1602,1.614788776,0.005122867,0.183754597,0.178631731,0
mp-629430,SrLi2CrN3,0.9152,0.0,0.052181692,1.380931318,1.328749626,0
mp-1097486,SrLi2Ca,0.5205,1.218303118,0.005122867,0.022617775,0.017494908,0
mp-1203266,SrLi2Al4(PO5)4,0.0,0.153443627,3.969144907,4.081703483,0.112558576,0
mp-978840,SrLi2(SiN2)2,3.5597,0.0,0.047318153,1.027518248,0.980200095,0
mp-558219,SrLi(BS2)3,2.91,0.0,1.624300393,2.133719759,0.509419366,0
mp-18495,SrLi(B3O5)3,5.7528,0.0,1.562105049,4.520981485,2.958876436,0
mp-555994,Sr6Li2Cr2N8O,1.8288,0.247417613,0.077429973,1.027856161,0.950426187,0
mp-686239,Sr5Li25La7Nb8O48,3.2119,0.103866922,0.964526579,3.088694035,2.124167457,0
mp-686736,Sr5Li25La7(BiO6)8,1.9255,0.030745972,2.530094889,3.064550765,0.534455876,0
mp-1235183,Sr4LiY2(RuO6)2,0.0,0.095432217,2.236207278,2.281012079,0.0448048,0
mp-1235116,Sr4LiTb2(RuO6)2,0.0,0.079865054,2.236207278,2.303884659,0.06767738,0
mp-1235246,Sr4LiMn2Ga2O11,0.0,0.176607936,2.263371567,2.300977218,0.037605651,0
mp-1233002,Sr4LiMn2(GaO5)2,0.1161,0.015999873,1.188275999,1.697952147,0.509676148,0
mp-753353,Sr4LiCu(CO5)2,0.9619,0.0,2.4109953,3.116050798,0.705055497,0
mp-772076,Sr4Li4Nb5FeO20,1.345,0.023345752,2.081003773,3.495034596,1.414030824,0
mp-1218608,Sr4Li3InGe6,0.0,0.006517642,0.249641735,0.403615417,0.153973683,0
mp-1203018,Sr4Li2Ta2Al2N8O,2.5814,0.006130481,0.113308215,1.068760581,0.955452366,0
mp-1020592,Sr4Li2Si4N8O,2.7818,0.0,0.011001653,1.285578157,1.274576504,0
mp-1020725,Sr4Li2B12O23,4.8776,0.004719955,1.298586778,3.668271624,2.369684846,0
mp-1218614,Sr4Li(RuO4)3,0.0,0.025668275,2.473195641,3.328106199,0.854910558,0
mp-9723,Sr4Li(BN2)3,2.0686,0.0,0.005122867,1.406224864,1.401101998,0
mp-1190486,Sr3LiTaO6,3.791,0.0,0.400617691,3.213843722,2.813226032,0
mp-1190151,Sr3LiSbO6,3.1732,0.0,1.297323998,3.88330747,2.585983472,0
mp-6721,Sr3LiRuO6,0.5632,0.0,1.72694099,3.64687208,1.91993109,0
mp-1190404,Sr3LiNbO6,3.2076,0.0,0.720981914,3.08248598,2.361504066,0
mp-6071,Sr3LiIrO6,0.0,0.0,1.882510845,4.45673186,2.574221015,0
mp-1218428,Sr3LiBiO6,2.1229,0.0,2.196071191,3.41011804,1.214046849,0
mp-1208758,Sr3Li6Ta2O11,4.1256,0.0,0.332091107,3.142076029,2.809984922,0
mp-1208770,Sr3Li6Nb2O11,3.3726,0.0,0.563564561,3.107122616,2.543558055,0
mp-1218571,Sr3Li4Nb6O20,1.2892,0.035651176,1.675705786,3.570856985,1.895151199,0
